Title,Time_period,ID,Bookshelf,Subject,Popularity,Link
The Negro Laborer: A Word to Him,1800-1850,63511,[],"['African Americans -- Employment', 'Work ethic']",6,https://www.gutenberg.org/ebooks/63511.txt.utf-8
"Women Wage-Earners: Their Past, Their Present, and Their Future",1800-1850,15204,[],['Women -- Employment -- United States'],25,https://www.gutenberg.org/ebooks/15204.txt.utf-8
More Bed-Time Stories,1800-1850,60581,[],"['Aunts -- Juvenile fiction', 'Charity -- Juvenile fiction', ""Children's stories"", 'City and town life -- Juvenile fiction', 'Educators -- Juvenile fiction', 'Envy -- Juvenile fiction', 'Orphans -- Juvenile fiction', 'Parent and child -- Juvenile fiction', 'School children -- Juvenile fiction', 'Young men -- Employment -- Juvenile fiction']",12,https://www.gutenberg.org/ebooks/60581.txt.utf-8
Prisoners of Poverty Abroad,1800-1850,28245,[],['Women -- Employment'],8,https://www.gutenberg.org/ebooks/28245.txt.utf-8
"The College, the Market, and the Court: or, Woman's relation to education, labor and law",1800-1850,43657,[],"['Women -- Education', 'Women -- Employment', 'Women -- Legal status, laws, etc.']",31,https://www.gutenberg.org/ebooks/43657.txt.utf-8
The Negro at Work in New York City: A Study in Economic Progress,1870-1920,24712,['United States'],"['African American businesspeople', 'African Americans -- Employment -- New York (State) -- New York', 'African Americans -- History']",18,https://www.gutenberg.org/ebooks/24712.txt.utf-8
"Prisoners of Poverty: Women Wage-Workers, Their Trades and Their Lives",1870-1920,34060,[],"['Women -- Employment', 'Women -- Employment -- United States']",22,https://www.gutenberg.org/ebooks/34060.txt.utf-8
The Romance of a Shop,1870-1920,57447,[],"['London (England) -- Fiction', 'Middle class women -- Fiction', 'Women -- Employment -- Fiction']",100,https://www.gutenberg.org/ebooks/57447.txt.utf-8
"The Long Day: The Story of a New York Working Girl, as Told by Herself",1870-1920,31118,[],['Women -- Employment -- New York (State) -- New York -- History -- Sources'],26,https://www.gutenberg.org/ebooks/31118.txt.utf-8
Vrouwenbelangen: Drie vraagstukken van actueelen aard,1870-1920,25425,[],"['Prostitution -- Netherlands', 'Women -- Employment -- Netherlands', 'Women -- Netherlands -- Social conditions']",19,https://www.gutenberg.org/ebooks/25425.txt.utf-8
The Girl in Industry,1940-1990,46104,[],['Women -- Employment -- Great Britain'],8,https://www.gutenberg.org/ebooks/46104.txt.utf-8
Making Both Ends Meet: The income and outlay of New York working girls,1940-1990,14798,[],"['Cost and standard of living -- New York (State) -- New York', 'Wages -- New York (State) -- New York', 'Women -- Employment -- New York (State) -- New York']",33,https://www.gutenberg.org/ebooks/14798.txt.utf-8
"Women and economic evolution: or, The effects of industrial changes upon the status of women",1940-1990,69021,[],"['Thesis (Ph. D.)', 'Women -- Employment', 'Women -- Social and moral questions', 'Women -- Social conditions']",34,https://www.gutenberg.org/ebooks/69021.txt.utf-8
Educated working women: Essays on the economic position of women workers in the middle classes,1940-1990,68623,[],"['Women -- Education', 'Women -- Employment']",35,https://www.gutenberg.org/ebooks/68623.txt.utf-8
The Negro at Work in New York City: A Study in Economic Progress,1940-1990,24712,['United States'],"['African American businesspeople', 'African Americans -- Employment -- New York (State) -- New York', 'African Americans -- History']",18,https://www.gutenberg.org/ebooks/24712.txt.utf-8
